Scene,Characters,Location,Film
,"Padme Amidala,Anakin Skywalker/Darth Vader",Tatooine,2
,Anakin Skywalker/Darth Vader,Tatooine,2
,"Count Dooku,Obi-Wan Kenobi,Nute Gunray,Rune Haako,San Hill,Emir Wat Tambor",Geonosis,2
,"Shmi Skywalker,Anakin Skywalker/Darth Vader",Tatooine,2
,"Yoda,Mace Windu",Coruscant,2
,"Obi-Wan Kenobi,R4P17",Geonosis,2
,"Padme Amidala,Anakin Skywalker/Darth Vader",Tatooine,2
,"R2-D2,C-3PO,Owen Lars,Beru Lars,Cliegg Lars,Padme Amidala,Anakin Skywalker/Darth Vader",Tatooine,2
,"Padme Amidala,Anakin Skywalker/Darth Vader,Jar Jar Binks,Emperor Palpatine/Darth Sidious,Ask Aak,Mas Amedda,Yoda,Mace Windu,Bail Organa",Various,2
,"C-3PO,Anakin Skywalker/Darth Vader,Padme Amidala",Tatooine,2
,"Ask Aak,Mas Amedda,Jar Jar Binks,Emperor Palpatine/Darth Sidious,Mace Windu,Yoda,Bail Organa",Coruscant,2
,"Count Dooku,Obi-Wan Kenobi",Geonosis,2
,"Jar Jar Binks,Emperor Palpatine/Darth Sidious,Mas Amedda,Mace Windu,Yoda",Coruscant,2
,"Padme Amidala,Anakin Skywalker/Darth Vader,C-3PO,R2-D2,Jango Fett",Geonosis,2
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Padme Amidala",Geonosis,2
,"Count Dooku,Nute Gunray,Obi-Wan Kenobi,Padme Amidala,Anakin Skywalker/Darth Vader,Jango Fett,Boba Fett,Rune Haako,Poggle the Lesser",Geonosis,2
,"Mace Windu,C-3PO,Obi-Wan Kenobi,Padme Amidala,Count Dooku,Jango Fett,Boba Fett,R2-D2,Kit Fisto,Ki-Adi-Mundi,Plo Koon,Aayla Secura",Geonosis,2
,"Yoda,Mace Windu,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Padme Amidala,Boba Fett,R2-D2,C-3PO,Ki-Adi-Mundi,Plo Koon",Geonosis,2
,"Yoda,Ki-Adi-Mundi,Mace Windu",Geonosis,2
,"Padme Amidala,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Geonosis,2
,"Count Dooku,Poggle the Lesser,Nute Gunray,Rune Haako",Geonosis,2
,"Count Dooku,Padme Amidala,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Geonosis,2
,"Count Dooku,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Geonosis,2
,"Count Dooku,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Yoda",Geonosis,2
,"Count Dooku,Emperor Palpatine/Darth Sidious",Coruscant,2
,"Yoda,Obi-Wan Kenobi,Mace Windu",Coruscant,2
,"Bail Organa,Emperor Palpatine/Darth Sidious,Jar Jar Binks,Mas Amedda,Ask Aak",Coruscant,2
,"Padme Amidala,Anakin Skywalker/Darth Vader,C-3PO,R2-D2",Naboo,2
,"R2-D2,Anakin Skywalker/Darth Vader,Obi-Wan Kenobi",Coruscant,3
,General Grievous,Coruscant,3
,"R2-D2,Anakin Skywalker/Darth Vader,Obi-Wan Kenobi",Coruscant,3
,"Obi-Wan Kenobi,Emperor Palpatine/Darth Sidious,Count Dooku,Anakin Skywalker/Darth Vader",Coruscant,3
,"R2-D2,Emperor Palpatine/Darth Sidious,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,3
,"R2-D2,Emperor Palpatine/Darth Sidious,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,General Grievous",Coruscant,3
,"R2-D2,Emperor Palpatine/Darth Sidious,Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,3
,"R2-D2,C-3PO,Mace Windu,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious,Bail Organa,Obi-Wan Kenobi",Coruscant,3
,"Anakin Skywalker/Darth Vader,Padme Amidala",Coruscant,3
,"Emperor Palpatine/Darth Sidious,General Grievous",Utapau,3
,"Anakin Skywalker/Darth Vader,Padme Amidala",Coruscant,3
,"Yoda,Anakin Skywalker/Darth Vader",Coruscant,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,3
,"Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Ki-Adi-Mundi,Yoda,Mace Windu,Plo Koon,Anakin Skywalker/Darth Vader,Obi-Wan Kenobi",Coruscant,3
,"Anakin Skywalker/Darth Vader,Obi-Wan Kenobi",Coruscant,3
,"Obi-Wan Kenobi,Yoda,Mace Windu",Various,3
,"Padme Amidala,Anakin Skywalker/Darth Vader",Coruscant,3
,"Mas Amedda,Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Coruscant,3
,"Obi-Wan Kenobi,Ki-Adi-Mundi,Yoda,Anakin Skywalker/Darth Vader,Plo Koon,Mace Windu",Various,3
,"Yoda,Chewbacca",Kashyyyk,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,3
,"Padme Amidala,Anakin Skywalker/Darth Vader",Coruscant,3
,"Tion Medon,Obi-Wan Kenobi",Utapau,3
,"Obi-Wan Kenobi,General Grievous,Nute Gunray",Utapau,3
,"Commander Cody,Yoda,Mace Windu,Anakin Skywalker/Darth Vader,Ki-Adi-Mundi",Various,3
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Coruscant,3
,"General Grievous,Obi-Wan Kenobi",Utapau,3
,"Anakin Skywalker/Darth Vader,Mace Windu",Coruscant,3
,Padme Amidala,Coruscant,3
,"C-3PO,Padme Amidala",Coruscant,3
,"Mace Windu,Kit Fisto,Emperor Palpatine/Darth Sidious,Agen Kolar,Saesee Tiin",Coruscant,3
,"Mace Windu,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Commander Cody,Obi-Wan Kenobi",Utapau,3
,"Commander Cody,Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Coruscant,3
,"Ki-Adi-Mundi,Plo Koon,Aayla Secura",Various,3
,"Yoda,Chewbacca",Kashyyyk,3
,Anakin Skywalker/Darth Vader,Coruscant,3
,"Padme Amidala,C-3PO",Coruscant,3
,"Bail Organa,Zett Jukassa",Coruscant,3
,"Yoda,Obi-Wan Kenobi,Chewbacca",Various,3
,"Captain Antilles,Bail Organa",Coruscant,3
,"Obi-Wan Kenobi,Bail Organa",Utapau,3
,"Anakin Skywalker/Darth Vader,Padme Amidala,C-3PO,R2-D2",Coruscant,3
,"Bail Organa,Yoda,Obi-Wan Kenobi",Coruscant,3
,"Nute Gunray,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Mas Amedda,Bail Organa,Obi-Wan Kenobi,Yoda",Coruscant,3
,"Nute Gunray,R2-D2,Anakin Skywalker/Darth Vader",Mustafar,3
,"Yoda,Obi-Wan Kenobi",Coruscant,3
,"Padme Amidala,Bail Organa,Mas Amedda,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Anakin Skywalker/Darth Vader,Nute Gunray",Mustafar,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Coruscant,3
,"Captain Typho,Padme Amidala,C-3PO",Coruscant,3
,"Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Mustafar,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader,Padme Amidala,C-3PO",Mustafar,3
,"Yoda,Mas Amedda,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Yoda,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Mustafar,3
,"Yoda,Bail Organa",Coruscant,3
,"Emperor Palpatine/Darth Sidious,Mas Amedda",Coruscant,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Mustafar,3
,"Yoda,Bail Organa",Coruscant,3
,"Obi-Wan Kenobi,Anakin Skywalker/Darth Vader",Mustafar,3
,"R2-D2,C-3PO,Padme Amidala,Obi-Wan Kenobi",Mustafar,3
,"R2-D2,Yoda,C-3PO,Bail Organa,Obi-Wan Kenobi,Padme Amidala",Polis Massa,3
,"Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Coruscant,3
,"R2-D2,Yoda,C-3PO,Bail Organa,Obi-Wan Kenobi,Padme Amidala,Luke Skywalker,Princess Leia",Polis Massa,3
,"Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Coruscant,3
,"Yoda,Bail Organa,Obi-Wan Kenobi",Polis Massa,3
,"Captain Antilles,Bail Organa,R2-D2,C-3PO",Polis Massa,3
,"Jar Jar Binks,Sio Bibble,Boss Nass",Naboo,3
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Star Destroyer,3
,"Bail Organa,Princess Leia",Alderaan,3
,"Obi-Wan Kenobi,Beru Lars,Owen Lars,Luke Skywalker",Tatooine,3
,"Lor San Tekka,Kylo Ren,Poe Dameron,Finn,BB-8,Captain Phasma",Jakku,7
,"BB-8,Rey,Unkar Plutt",Jakku,7
,"Kylo Ren,Poe Dameron",Ren's Star Destroyer,7
,"Finn,Poe Dameron",Ren's Star Destroyer,7
,"Rey,Finn,BB-8",Jakku,7
,"Rey,Finn,BB-8,Han Solo,Chewbacca",Millenium Falcon,7
,"General Hux,Kylo Ren,Snoke",Star Killer Base,7
,"Tasu Leech,Razoo Qin-Fee,Han Solo,Chewbacca,Finn,Rey,BB-8,Bala-Tik,",Eravana,7
,"General Hux,Captain Phasma,Kylo Ren",Star Killer Base,7
,"Han Solo,Chewbacca,Rey,BB-8,Finn,Maz Kanata,GA97,Bazine Netal",Takodana,7
,"Rey,Maz Kanata,Finn,Sidon Ithano,Quiggold",Takodana,7
,"Rey,BB-8,Kylo Ren",Takodana,7
,"Han Solo,Finn,Chewbacca,Poe Dameron",Takodana,7
,"Finn,Han Solo,Chewbacca,Princess Leia,C-3PO",Takodana,7
,"Princess Leia,Han Solo,Chewbacca,Finn,Admiral Ackbar,BB-8,R2-D2,C-3PO,Lieutenant Connix",D'Qar,7
,"Rey,Kylo Ren",Star Destroyer,7
,"Han Solo,Finn,Chewbacca,Captain Phasma",Star Killer Base,7
,"Poe Dameron,Snap Wexley,Jess Pava,Niv Lek,Yolo Ziff,Bastian,Nien Nunb,Ello Asty,BB-8",Star Killer Base,7
,"Rey,Finn,Kylo Ren,Han Solo,Chewbacca",Star Killer Base,7
,"General Hux,Snoke",Star Killer Base,7
,"Princess Leia,Rey,R2-D2,BB-8,C-3PO,Poe Dameron,Chewbacca,Finn",D'Qar,7
,"Rey,Luke Skywalker,R2-D2,Chewbacca",Ahch-To,7
,"Galen Erso,Jyn Erso,Orson Krennic,Lyra Erso",Lah'mu,3.5
,"Jyn Erso,Saw Gerrera",Lah'mu,3.5
,"Jyn Erso,Oolin Musters",Wobani,3.5
,"Cassian Andor,Tivik",Ring of Kafrene,3.5
,"Bodhi Rook,Benthic,Saw Gerrera",Jedha,3.5
,"Davits Draven,Jyn Erso,K-2SO",Wobani,3.5
,"Jyn Erso,Mon Mothma,General Jan Dodonna,Bail Organa,Cassian Andor,Davits Draven",Yavin IV,3.5
,"Grand Moff Tarkin,Orson Krennic",Star Destroyer,3.5
,"Cassian Andor,Jyn Erso,K-2SO,Chirrut Imwe,Baze Malbus,Benthic",Jedha,3.5
,"Cassian Andor,Jyn Erso,Bodhi Rook,Chirrut Imwe,Baze Malbus,Saw Gerrera,Benthic",Jedha,3.5
,"Grand Moff Tarkin,Orson Krennic",Death Star ,3.5
,"K-2SO,Jyn Erso,Cassian Andor,Chirrut Imwe,Baze Malbus,Bodhi Rook",Jedha,3.5
,"K-2SO,Jyn Erso,Cassian Andor,Chirrut Imwe,Baze Malbus,Bodhi Rook,Galen Erso,Orson Krennic",Edau,3.5
,"Orson Krennic,Anakin Skywalker/Darth Vader",Mustafar,3.5
,"Mon Mothma,General Jan Dodonna,Bail Organa,Tynnra Palmo,Nower Jebel,Vasp Vasper,Davits Draven,Admiral Raddus,Antoc Merrick,Jyn Erso,Cassian Andor,Bodhi Rook,Chirrut Imwe,Baze Malbus",Yavin IV,3.5
,"Jyn Erso,Cassian Andor,K-2SO,Bodhi Rook,Chirrut Imwe,Baze Malbus,Davits Draven",Yavin IV,3.5
,"Jyn Erso,Orson Krannic,Cassian Andor",Scarif,3.5
,"Antoc Merrick,Jon Vander,Garven Dreis",Scarif,3.5
,"Captain Antilles,Princess Leia",Tantive 4,3.5
,"General Hux,Captain Candy,Poe Dameron,Princess Leia,BB-8,Lieutenant Connix",D'Qar,8
,"Tallissan Lintra,Poe Dameron,Paige Tico,Nix Jerd,Finch Dallow,Jaycris Tubbs,Stomeroni Starck",D'Qar,8
,"Snoke,General Hux",D'Qar,8
,"Princess Leia,Finn,Poe Dameron",Cruiser,8
,"Luke Skywalker,Rey,Chewbacca,R2-D2",Ahch-To,8
,"Kylo Ren,Snoke",Supremacy,8
,"Luke Skywalker,Rey,Chewbacca,R2-D2",Ahch-To,8
,"Princess Leia,Admiral Ackbar,Poe Dameron,Tallissan Lintra,Kylo Ren,Finn,General Hux,Stomeroni Starck",Cruiser,8
,"Luke Skywalker,Rey,Chewbacca,R2-D2",Ahch-To,8
,"Larma D'Acy,Vice Admiral Holdo,Poe Dameron,Finn,Rose Tico",Crusier,8
,"Princess Leia,Finn,Poe Dameron,Rose Tico,Maz Kanata,C-3PO",Cruiser,8
,"Luke Skywalker,Rey",Ahch-To,8
,"Kylo Ren,Rey",Various,8
,"Poe Dameron,Finn,BB-8,Rose Tico",Cruiser,8
,"Finn,Rose Tico,BB-8,Slowen Lo",Canto Bight,8
,"Finn,Rose Tico,BB-8,Slowen Lo,Bargwill Tomder,Lovery,DJ",Canto Bight,8
,"General Hux,Vice Admiral Holdo,Lieutenant Connix,Poe Dameron",Cruiser,8
,"Temiri Blagg,Rose Tico,DJ,Finn",Canto Bight,8
,"Kylo Ren,Rey",Various,8
,"Yoda,Luke Skywalker",Ahch-To,8
,"DJ,Captain Phasma,Finn,Rose Tico,BB-8,Ansiv Garmuth",Supremacy,8
,"Poe Dameron,Vice Admiral Holdo,C-3PO,Lieutenant Connix,Princess Leia,Larma D'Acy",Crusier,8
,"Snoke,Rey,Kylo Ren",Supremacy,8
,"General Hux,Rose Tico,Finn,DJ,Captain Phasma,BB-8",Supremacy,8
,"Princess Leia,Rose Tico,Finn,Poe Dameron,C'aiThrenalli,Pammich Nerro Goode,Caluan Ematt",Crait,8
,"Kylo Ren,General Hux",Crait,8
,"Rey,Chewbacca,R2-D2",Crait,8
,"Kylo Ren,Luke Skywalker",Criat,8
,"Rose Tico,Rey,Poe Dameron,Chewbacca,Princess Leia,R2-D2,C-3PO",Millenium Falcon,8
,"Bargwill Tomder,Temiri Blagg",Canto Bight,8
,"Qi'ra,Han Solo,Lady Proxima,Moloch,Syke,Rebolt",Corellia,3.55
,"Han Solo,Qi'ra,Moloch",Corellia,3.55
,"Qi'ra,Han Solo,Falthina Sharest",Corellia,3.55
,"Han Solo,Drawd Munrin",Corellia,3.55
,"Han Solo,Major Staz,Collum Woslo,Sharlu Greslin,Danith Nodar,Wesger Odry,Tobias Beckett",Mimban,3.55
,"Han Solo,Tobias Beckett,Val,Rio Durant,Lieutenant Bolandin",Mimban,3.55
,"Han Solo,Chewbacca,Tobias Beckett,Val,Rio Durant,Enfys Nest",Mimban,3.55
,"Dryden Vos,Han Solo,Tobias Beckett,Chewbacca,Aemon Gremm,Margo,Diles Anevi,Qi'ra",Fort Ypso,3.55
,"Qi'ra,Han Solo,Tobias Beckett,Chewbacca,Lando Calrissian,Weazel,L3-37,Ralakili",Fort Ypso,3.55
,"Han Solo,Lando Calrissian,L3-37,Tobias Beckett,Chewbacca,Qi'ra",Millenium Falcon,3.55
,"Quay Tolsite,Tobias Beckett,Han Solo,Chewbacca,Qi'ra,L3-37",Kessel,3.55
,"DD-B8,L3-37,Han Solo,Chewbacca,Sagwa,Tobias Beckett,Lando Calrissian,Qi'ra,Tak",Kessel,3.55
,"Dhowar Repareed,Han Solo,Chewbacca,Lando Calrissian,Tobias Beckett,Qi'ra",Savareen,3.55
,"Kenholdt Ransard,Enfy Nest,Qi'ra,Han Solo,Chewbacca,Lando Calrissian,Tobias Beckett",Savareen,3.55
,"Dryden Vos,Han Solo,Qi'ra,Chewbacca,Tobias Beckett",Savareen,3.55
,"Aemon Gremm,Enfys Nest,Auromae Iselo",Savareen,3.55
,"Dryden Vos,Han Solo,Qi'ra,Chewbacca,Tobias Beckett",Savareen,3.55
,"Qi'ra,Darth Maul",Savareen,3.55
,"Han Solo,Chewbacca,Tobias Beckett",Savareen,3.55
,"Lando Calrissian,Han Solo,Chewbacca",Numidian Prime,3.55
,"Kylo Ren,Emperor Palpatine/Darth Sidious",Exegol,9
,"Finn,Poe Dameron,Chewbacca,Ovissian Boolio",Sinta,9
,"Rey,Princess Leia,BB-8",Ajan Kloss,9
,"Rey,Poe Dameron,Finn,BB-8,Chewbacca,Lieutenant Connix,Princess Leia,C-3PO,Rose Tico,Beaumont Kin,R2-D2",Ajan Kloss,9
,"Albrekh,Kylo Ren,General Hux,General Pryde,Quinn",Star Destroyer,9
,"Nambi Ghima,C-3PO,Rey,Finn,Chewbacca,Poe Dameron",Pasaana,9
,"Rey,Lando Calrissian,Finn,Poe Dameron,C-3PO,BB-8",Pasaana,9
,"Kylo Ren,Rey,Chewbacca,BB-8,C-3PO,Poe Dameron,Finn",Pasaana,9
,"BB-8,C-3PO,D-O,Finn,Poe Dameron,Rey",Pasaana,9
,"Zorii Bliss,Rey,Finn,C-3PO,Poe Dameron,BB-8,Babu Frik",Kijimi,9
,"Chewbacca,Finn,Poe Dameron,General Hux",Star Destroyer,9
,"Rey,Kylo Ren",Various,9
,"General Hux,General Pryde",Star Destroyer,9
,"Jannah,Finn,Rey,Poe Dameron,BB-8,D-O",Kef Bir,9
,"Finn,Rey,Kylo Ren",Kef Bir,9
,"Emperor Palpatine/Darth Sidious,General Pryde",Star Destroyer,9
,"Rey,Emperor Palpatine/Darth Sidious,Kylo Ren",Exegol,9
,"Poe Dameron,Finn,BB-8,Rose Tico,Snap Wexley,Jannah",Exegol,9
,"Wedge Antilles,Poe Dameron,Lando Calrissian,Chewbacca,Nien Nunb,Zorii Bliss,Babu Frik",Exegol,9
,"Maz Kanata,Princess Leia,Lieutenant Connix",Ajan Kloss,9
,"Maz Kanata,Princess Leia,Lieutenant Connix,Chewbacca,Rey,Finn,Poe Dameron,Rose Tico,Zorii Bliss,Jannah,Lando Calrissian",Ajan Kloss,9
,"Rey,Kylo Ren,Han Solo,Princess Leia",Kef Bir,9
