Scene,Characters,Location,Film
10,"Admiral Ozel,Admiral Piett,General Veers,Anakin Skywalker/Darth Vader",Star Destroyer,5
11,"General Rieekan,Han Solo,Luke Skywalker,Chewbacca",Hoth,5
12,"Admiral Ozel,Admiral Piett,General Veers,Anakin Skywalker/Darth Vader",Hoth,5
13,"General Bren Derlin,Hobbie,Princess Leia,Luke Skywalker,Dak Ralter,C-3PO,General Rieekan",Hoth,5
14,"Luke Skywalker,Dak Ralter,Wedge Antilles,Wes Janson",Hoth,5
15,"Anakin Skywalker/Darth Vader,General Veers",Hoth,5
16,"General Rieekan,Princess Leia,C-3PO,R2-D2,Luke Skywalker,Han Solo,Chewbacca",Hoth,5
17,General Veers,Hoth,5
18,"Zev Senesca,Luke Skywalker",Hoth,5
19,"Luke Skywalker,Han Solo,C-3PO,Princess Leia",Hoth,5
20,General Veers,Hoth,5
21,"Han Solo,Princess Leia,C-3PO,Chewbacca",Hoth,5
22,"Han Solo,Princess Leia,C-3PO,Chewbacca,Anakin Skywalker/Darth Vader",Hoth,5
23,Luke Skywalker,Hoth,5
24,"Luke Skywalker,R2-D2,Wedge Antilles",Hoth,5
25,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
26,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
27,"Luke Skywalker,R2-D2",Dagobah,5
28,"Admiral Piett,Anakin Skywalker/Darth Vader",Star Destroyer,5
29,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
30,"Luke Skywalker,R2-D2,Yoda",Dagobah,5
31,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
32,"Captain Needa,Admiral Piett,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Star Destroyer,5
33,"Luke Skywalker,R2-D2,Yoda,Obi-Wan Kenobi",Dagobah,5
34,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
35,"Luke Skywalker,R2-D2,Yoda",Dagobah,5
36,"Luke Skywalker,R2-D2,Yoda,Anakin Skywalker/Darth Vader",Dagobah,5
37,"Admiral Piett,Anakin Skywalker/Darth Vader,Boba Fett",Star Destroyer,5
38,"Han Solo,Princess Leia,C-3PO,Chewbacca,Captain Needa",Various,5
39,"Luke Skywalker,R2-D2,Yoda",Dagobah,5
40,"Captain Needa,Anakin Skywalker/Darth Vader,Admiral Piett",Star Destroyer,5
41,"Han Solo,Princess Leia,C-3PO,Chewbacca,Boba Fett",Millenium Falcon,5
42,"Luke Skywalker,R2-D2,Yoda",Dagobah,5
43,"Han Solo,Princess Leia,C-3PO,Chewbacca",Millenium Falcon,5
44,"Han Solo,Princess Leia,C-3PO,Chewbacca,Lando Calrissian",Bespin,5
45,"Luke Skywalker,R2-D2,Yoda,Obi-Wan Kenobi",Dagobah,5
46,"Han Solo,Princess Leia,C-3PO,Chewbacca,Lando Calrissian",Bespin,5
47,"Han Solo,Princess Leia,C-3PO,Chewbacca,Lando Calrissian,Anakin Skywalker/Darth Vader",Bespin,5
48,"Luke Skywalker,R2-D2",Bespin,5
49,"Chewbacca,C-3PO",Bespin,5
50,"Han Solo,Anakin Skywalker/Darth Vader,Lando Calrissian,Boba Fett",Bespin,5
51,"Han Solo,Chewbacca,C-3PO,Princess Leia,Lando Calrissian",Bespin,5
52,"Lando Calrissian,Anakin Skywalker/Darth Vader",Bespin,5
53,"Anakin Skywalker/Darth Vader,Lando Calrissian,Boba Fett,Han Solo,Chewbacca,Princess Leia",Bespin,5
54,"Luke Skywalker,Boba Fett,Princess Leia,Chewbacca,C-3PO,Lando Calrissian,R2-D2",Bespin,5
55,"Luke Skywalker,Anakin Skywalker/Darth Vader",Bespin,5
56,"Princess Leia,Lando Calrissian,R2-D2,Chewbacca,C-3PO",Bespin,5
57,"Luke Skywalker,Anakin Skywalker/Darth Vader",Bespin,5
58,"Princess Leia,Lando Calrissian,R2-D2,Chewbacca,C-3PO",Bespin,5
59,"Luke Skywalker,Anakin Skywalker/Darth Vader",Bespin,5
60,"Luke Skywalker,Princess Leia,Chewbacca,Lando Calrissian",Millenium Falcon,5
61,"Princess Leia,Luke Skywalker,Chewbacca,Lando Calrissian,R2-D2,C-3PO,Anakin Skywalker/Darth Vader",Millenium Falcon,5
62,"Princess Leia,Luke Skywalker,Chewbacca,R2-D2,C-3PO,Lando Calrissian",Alliance Fleet,5
,"Moff Jerjerrod,Anakin Skywalker/Darth Vader",Death Star 2,6
,"C-3PO,R2-D2,Bib Fortuna,Jabba the Hutt",Tatooine,6
,"R2-D2,C-3PO,EV9-D9",Tatooine,6
,"Jabba the Hutt,C-3PO,Oola",Tatooine,6
,"Princess Leia,Chewbacca,C-3PO,Jabba the Hutt,Boba Fett,Lando Calrissian",Tatooine,6
,"Princess Leia,Han Solo",Tatooine,6
,"Han Solo,Princess Leia,Jabba the Hutt,C-3PO,Lando Calrissian",Tatooine,6
,"Han Solo,Chewbacca,C-3PO,Princess Leia,Lando Calrissian",Tatooine,6
,"Luke Skywalker,Bib Fortuna,Jabba the Hutt,Princess Leia,Lando Calrissian",Tatooine,6
,"Luke Skywalker,Han Solo,Jabba the Hutt,C-3PO,Chewbacca,Lando Calrissian,Boba Fett,Princess Leia",Tatooine,6
